species_name;clutch_size;body_mass
Microcerculus_bambla;;19.10
Microcerculus_marginatus;2.50;18.27
Microcerculus_philomela;;17.80
Microcerculus_ustulatus;;21.00
Odontorchilus_branickii;;9.60
Odontorchilus_cinereus;;11.00
Salpinctes_obsoletus;5.17;16.25
Thryomanes_bewickii;5.72;9.90
Thryorchilus_browni;2.00;14.00
Thryothorus_atrogularis;;24.25
Thryothorus_coraya;2.00;17.20
Thryothorus_eisenmanni;;23.15
Thryothorus_euophrys;;30.08
Thryothorus_felix;5.00;12.80
Thryothorus_genibarbis;;19.20
Thryothorus_guarayanus;2.00;13.50
Thryothorus_leucotis;2.50;19.50
Thryothorus_longirostris;;21.30
Thryothorus_ludovicianus;4.59;19.03
Thryothorus_maculipectus;3.50;15.05
Thryothorus_modestus;2.30;17.67
Thryothorus_mystacalis;;29.00
Thryothorus_nigricapillus;3.00;23.90
Thryothorus_pleurostictus;3.50;17.70
Thryothorus_rufalbus;2.70;25.00
Thryothorus_rutilus;2.75;16.50
Thryothorus_sclateri;;20.00
Thryothorus_semibadius;2.00;17.00
Thryothorus_sinaloa;5.00;15.10
Thryothorus_spadix;2.00;
Thryothorus_superciliaris;2.50;22.80
Thryothorus_thoracicus;2.50;17.60
Troglodytes_aedon;6.22;10.98
Troglodytes_cobbi;3.50;19.10
Troglodytes_ochraceus;;9.40
Troglodytes_rufociliatus;3.00;10.00
Troglodytes_rufulus;;16.10
Troglodytes_solstitialis;2.00;11.40
Troglodytes_troglodytes;6.06;9.29
Uropsila_leucogastra;4.00;9.05
